method,direction,mappings,mib,transfer_ms,effective_gib_s,compute_ms,serial_ms,overlap_ms,hidden_ms,overlap_efficiency,improvement
zero_copy,gpu_to_cpu,1,28.0,1.1755520105361938,23.26034897216325,4.405247926712036,5.567488193511963,5.543935775756836,0.023552417755126953,0.020035198395334464,0.0042303489359121794
memcpy2d,gpu_to_cpu,1,28.0,1.2290080189704895,22.248634327793244,4.486144065856934,5.724672079086304,4.529664039611816,1.1950080394744873,0.9723354290849272,0.2087469854981141
zero_copy,cpu_to_gpu,1,28.0,1.1868159770965576,23.03958703597344,4.392960071563721,5.571584224700928,5.543423891067505,0.02816033363342285,0.023727632739082825,0.005054277652050471
memcpy2d,cpu_to_gpu,1,28.0,2.0667359828948975,13.230403025014999,4.354048013687134,6.342655897140503,4.390399932861328,1.9522559642791748,0.9446083004490156,0.3077978682651414
zero_copy,gpu_to_cpu,2,56.0,2.2476799488067627,24.330643706205695,4.188159942626953,6.428671836853027,6.3994879722595215,0.02918386459350586,0.01298399472264672,0.004539641365142693
memcpy2d,gpu_to_cpu,2,56.0,2.351439952850342,23.25702594859355,4.304896116256714,6.657024145126343,4.336127996444702,2.3208961486816406,0.987010595728087,0.3486386857077552
zero_copy,cpu_to_gpu,2,56.0,2.3603200912475586,23.169526964918838,4.222975969314575,6.571007966995239,6.55513596534729,0.01587200164794922,0.006724512368811806,0.002415459200121332
memcpy2d,cpu_to_gpu,2,56.0,3.4157919883728027,16.0101962256934,4.217855930328369,7.619584083557129,4.250623941421509,3.36896014213562,0.9862896082675421,0.4421448868063221
zero_copy,gpu_to_cpu,4,112.0,4.483071804046631,24.39733396669511,4.133887767791748,8.607744216918945,8.40294361114502,0.20480060577392578,0.04954188823644014,0.02379259892172215
memcpy2d,gpu_to_cpu,4,112.0,4.585439920425415,23.852673221777316,4.15231990814209,8.757247924804688,4.66431999206543,4.092927932739258,0.9856966763841165,0.46737604871801575
zero_copy,cpu_to_gpu,4,112.0,4.700160026550293,23.27048427759094,4.137983798980713,8.829952239990234,8.737792015075684,0.09216022491455078,0.02227177035764425,0.01043722801774211
memcpy2d,cpu_to_gpu,4,112.0,6.570271968841553,16.646951681557958,4.137471914291382,10.663936138153076,6.536704063415527,4.127232074737549,0.9975250975073781,0.3870270809266454
zero_copy,gpu_to_cpu,8,224.0,8.956928253173828,24.42243521627935,4.125696182250977,13.075455665588379,12.8122878074646,0.2631678581237793,0.06378750312636815,0.020126859426886145
memcpy2d,gpu_to_cpu,8,224.0,9.079344272613525,24.093149618725928,4.1308159828186035,13.318143844604492,9.253888130187988,4.064255714416504,0.9838868957903365,0.30516682818852675
zero_copy,cpu_to_gpu,8,224.0,9.383935928344727,23.311113979290166,4.126719951629639,13.502464294433594,13.331968307495117,0.17049598693847656,0.04131513379558209,0.01262702742408019
memcpy2d,cpu_to_gpu,8,224.0,10.908448219299316,20.053264735948943,4.126719951629639,15.021056175231934,10.904575824737549,4.116480350494385,0.9975187070469343,0.27404733079169274
