mappings,mib,swap_ms,effective_gib_s,compute_ms,serial_ms,overlap_ms,hidden_ms,overlap_efficiency,improvement
1,28.0,1.1699199676513672,23.372325249643367,4.40012788772583,5.5659520626068115,5.5357441902160645,0.03020787239074707,0.025820460566537598,0.0054272606107569
2,56.0,2.2466559410095215,24.341733418881443,4.208640098571777,6.442496061325073,6.412287950515747,0.030208110809326172,0.013445810841758145,0.004688883085341469
4,112.0,4.482048034667969,24.402906696670986,4.126719951629639,8.598015785217285,8.375296115875244,0.22271966934204102,0.053970143831565114,0.02590361252010804
8,224.0,8.954879760742188,24.428022022025434,4.116479873657227,13.06214427947998,12.780543804168701,0.2816004753112793,0.06840807776404734,0.021558518210035432
